lon,lat,station,agency,monitoring,seafloor_depth (m),dist_to_coast (km)
-117.82757,33.56137,1901,OCSAN,WQ,29,0.4
-117.8324,33.55275,1902,OCSAN,WQ,52,1.1
-117.83637,33.54603,1903,OCSAN,WQ,96,1.6
-117.84557,33.52978,1904,OCSAN,WQ,335,3.5
-117.85475,33.5135,1905,OCSAN,WQ,506,5.4
-117.86403,33.49715,1906,OCSAN,WQ,548,7.4
-117.8782,33.58892,2001,OCSAN,WQ,32,0.6
-117.8838,33.57925,2002,OCSAN,WQ,71,1.8
-117.88573,33.57608,2003,OCSAN,WQ,87,2.2
-117.89513,33.55982,2004,OCSAN,WQ,293,4.1
-117.90438,33.54355,2005,OCSAN,WQ,395,5.9
-117.91373,33.52745,2006,OCSAN,WQ,437,7.8
-117.89803,33.59618,2021,OCSAN,WQ,31,2.2
-117.9027,33.58805,2022,OCSAN,WQ,62,2.7
-117.90737,33.57993,2023,OCSAN,WQ,112,3.4
-117.91718,33.56352,2024,OCSAN,WQ,283,4.8
-117.92655,33.54752,2025,OCSAN,WQ,359,6.5
-117.93582,33.53167,2026,OCSAN,WQ,403,8.3
-117.92915,33.60305,2101,OCSAN,WQ,26,0.3
-117.93677,33.59385,2102,OCSAN,WQ,43,1.5
-117.94463,33.58482,2103,OCSAN,WQ,79,2.8
-117.9569,33.56998,2104,OCSAN,WQ,161,4.8
-117.96917,33.55515,2105,OCSAN,WQ,235,6.8
-117.98142,33.54033,2106,OCSAN,WQ,308,8.8
-117.94587,33.61462,2181,OCSAN,WQ,10,0.7
-117.9544,33.60453,2182,OCSAN,WQ,19,2.1
-117.9624,33.59502,2183,OCSAN,WQ,36,3.4
-117.97467,33.58018,2184,OCSAN,WQ,64,5.1
-117.98692,33.56537,2185,OCSAN,WQ,126,7.0
-117.99918,33.55053,2186,OCSAN,WQ,240,9.0
-117.96385,33.62488,2201,OCSAN,WQ,6,2.2
-117.9719,33.61502,2202,OCSAN,WQ,14,2.9
-117.98017,33.60522,2203,OCSAN,WQ,25,4.0
-117.99243,33.59038,2204,OCSAN,WQ,39,5.8
-118.0047,33.57557,2205,OCSAN,WQ,69,7.7
-118.01697,33.56073,2206,OCSAN,WQ,177,9.6
-117.9818,33.63498,2221,OCSAN,WQ,6,1.4
-117.98957,33.62537,2222,OCSAN,WQ,14,2.2
-117.99785,33.61557,2223,OCSAN,WQ,21,3.4
-118.01013,33.60058,2224,OCSAN,WQ,31,5.3
-118.02243,33.58577,2225,OCSAN,WQ,50,7.2
-118.03472,33.57095,2226,OCSAN,WQ,137,9.2
-118.00107,33.64287,2301,OCSAN,WQ,7,1.0
-118.00825,33.63422,2302,OCSAN,WQ,15,2.0
-118.0156,33.62562,2303,OCSAN,WQ,20,3.2
-118.0279,33.61082,2304,OCSAN,WQ,27,5.2
-118.0402,33.596,2305,OCSAN,WQ,41,7.1
-118.05248,33.58118,2306,OCSAN,WQ,116,9.1
-118.01892,33.65317,2349,OCSAN,WQ,6,2.8
-118.0261,33.64445,2350,OCSAN,WQ,14,3.3
-118.03335,33.63585,2351,OCSAN,WQ,19,4.1
-118.04565,33.62103,2352,OCSAN,WQ,27,5.8
-118.05795,33.60622,2353,OCSAN,WQ,41,7.6
-118.07023,33.5914,2354,OCSAN,WQ,118,9.5
-118.03505,33.66533,2401,OCSAN,WQ,7,1.4
-118.04322,33.6557,2402,OCSAN,WQ,15,2.7
-118.0512,33.64608,2403,OCSAN,WQ,20,3.9
-118.06347,33.63125,2404,OCSAN,WQ,28,5.9
-118.07573,33.61643,2405,OCSAN,WQ,40,7.9
-118.088,33.6016,2406,OCSAN,WQ,71,9.9
-118.06573,33.69125,2451,OCSAN,WQ,9,2.0
-118.0764,33.67898,2452,OCSAN,WQ,15,3.5
-118.08673,33.66645,2453,OCSAN,WQ,20,5.2
-118.0991,33.65163,2454,OCSAN,WQ,27,6.8
-118.11125,33.63683,2455,OCSAN,WQ,33,8.6
-118.12352,33.62197,2456,OCSAN,WQ,39,10.5
-118.120621,33.734101,2500,LACSD,WQ,6,0.8
-118.12025,33.72787,2501,LACSD,WQ,7,1.4
-118.12779,33.69904,2502,LACSD,WQ,18,4.6
-118.13533,33.67021,2503,LACSD,WQ,25,7.8
-118.14287,33.64139,2504,LACSD,WQ,32,10.6
-118.15041,33.61256,2505,LACSD,WQ,42,13.1
-118.15908,33.58102,2506,LACSD,WQ,66,15.9
-118.18426,33.72043,2601,LACSD,WQ,17,2.0
-118.1905,33.69398,2602,LACSD,WQ,22,5.0
-118.19674,33.66752,2603,LACSD,WQ,23,7.9
-118.20299,33.64107,2604,LACSD,WQ,30,10.5
-118.20923,33.61461,2605,LACSD,WQ,46,12.5
-118.21547,33.58816,2606,LACSD,WQ,71,14.7
-118.24666,33.70775,2701,LACSD,WQ,16,2.4
-118.25112,33.68864,2702,LACSD,WQ,24,3.6
-118.25559,33.66953,2703,LACSD,WQ,32,5.1
-118.26005,33.65042,2704,LACSD,WQ,74,6.7
-118.26452,33.63131,2705,LACSD,WQ,154,8.6
-118.26898,33.6122,2706,LACSD,WQ,98,10.5
-118.28438,33.70288,2801,LACSD,WQ,13,0.5
-118.28908,33.69327,2802,LACSD,WQ,25,1.4
-118.2968,33.66845,2803,LACSD,WQ,135,4.1
-118.30128,33.65767,2804,LACSD,WQ,304,5.3
-118.30404,33.64854,2805,LACSD,WQ,499,6.4
-118.30919,33.63708,2806,LACSD,WQ,523,7.7
-118.32345,33.7143,2901,LACSD,WQ,21,0.3
-118.32983,33.70693,2902,LACSD,WQ,38,1.2
-118.33568,33.69847,2903,LACSD,WQ,71,2.3
-118.339,33.68783,2904,LACSD,WQ,163,3.5
-118.34618,33.67094,2905,LACSD,WQ,454,5.4
-118.3543,33.65409,2906,LACSD,WQ,730,7.4
-118.3603,33.73217,3001,LACSD,WQ,19,0.4
-118.36315,33.72238,3002,LACSD,WQ,38,1.2
-118.36592,33.71462,3003,LACSD,WQ,70,1.9
-118.37132,33.70098,3004,LACSD,WQ,171,3.5
-118.38107,33.68492,3005,LACSD,WQ,588,5.5
-118.39075,33.66679,3006,LACSD,WQ,782,7.7
-118.3943,33.73632,3051,LACSD,WQ,36,0.5
-118.40043,33.73315,3052,LACSD,WQ,57,0.4
-118.40247,33.72995,3053,LACSD,WQ,70,0.8
-118.41098,33.71893,3054,LACSD,WQ,192,2.3
-118.42198,33.70497,3055,LACSD,WQ,501,4.1
-118.43313,33.68966,3056,LACSD,WQ,815,6.1
-118.43017,33.771,3101,LACSD,WQ,29,0.5
-118.43538,33.76498,3102,LACSD,WQ,43,1.3
-118.44105,33.7573,3103,LACSD,WQ,79,2.3
-118.44977,33.74527,3104,LACSD,WQ,203,3.2
-118.46123,33.72877,3105,LACSD,WQ,680,4.7
-118.47551,33.71254,3106,LACSD,WQ,778,6.6
-118.40611,33.85416,3201,CLA,WQ,16,0.9
-118.41778,33.84861,3202,CLA,WQ,38,1.6
-118.42638,33.84528,3203,CLA,WQ,57,2.4
-118.44055,33.83695,3204,CLA,WQ,119,3.9
-118.46361,33.82388,3205,CLA,WQ,202,5.7
-118.49278,33.8111,3206,CLA,WQ,283,6.9
-118.42721,33.89305,3301,CLA,WQ,8,1.6
-118.43638,33.88916,3302,CLA,WQ,15,2.2
-118.44666,33.88555,3303,CLA,WQ,26,3.1
-118.45695,33.87945,3304,CLA,WQ,48,4.1
-118.49333,33.86833,3305,CLA,WQ,72,7.6
-118.52721,33.85111,3306,CLA,WQ,90,11.2
-118.4325,33.9025,3401,CLA,WQ,7,2.7
-118.44721,33.9,3402,CLA,WQ,16,3.6
-118.46,33.9011,3403,CLA,WQ,31,4.7
-118.4686,33.89693,3404,CLA,WQ,41,5.3
-118.50638,33.88721,3405,CLA,WQ,57,8.6
-118.53555,33.87916,3406,CLA,WQ,63,11.3
-118.44805,33.93138,3501,CLA,WQ,8,3.5
-118.46026,33.92776,3502,CLA,WQ,16,3.8
-118.4725,33.92388,3503,CLA,WQ,31,4.4
-118.49416,33.91666,3504,CLA,WQ,46,6.1
-118.52526,33.90916,3505,CLA,WQ,59,8.6
-118.52342,33.90878,3505B,CLA,WQ,59,8.5
-118.54971,33.9,3506,CLA,WQ,73,11.0
-118.46625,33.95973,3601,CLA,WQ,9,0.9
